transaction_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
0,1/1/2019 0:00,2.70319E+15,"fraud_Rippin, Kub and Mann",misc_net,4.97,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,0b242abb623afc578575680df30655b9,1325376018,36.011293,-82.048315,0
1,1/1/2019 0:00,6.30423E+11,"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,6/21/1978,1f76529f8574734946361c461b024d99,1325376044,49.159047,-118.186462,0
2,1/1/2019 0:00,3.88595E+13,fraud_Lind-Buckridge,entertainment,220.11,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,1/19/1962,a1a22d70485983eac12b5b88dad1cf95,1325376051,43.150704,-112.154481,0
3,1/1/2019 0:01,3.53409E+15,"fraud_Kutch, Hermiston and Farrell",gas_transport,45,Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,1/12/1967,6b849c168bdad6f867558c3793159a81,1325376076,47.034331,-112.561071,0
4,1/1/2019 0:03,3.75534E+14,fraud_Keeling-Crist,misc_pos,41.96,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,a41d7549acf90789359a9aa5346dcb46,1325376186,38.674999,-78.632459,0
5,1/1/2019 0:04,4.76727E+15,"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,6/19/1961,189a841a0a8ba03058526bcfe566aab5,1325376248,40.653382,-76.152667,0
6,1/1/2019 0:04,3.00747E+13,fraud_Rowe-Vandervort,grocery_net,44.54,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,8/16/1993,83ec1cc84142af6e2acf10c44949e720,1325376282,37.162705,-100.15337,0
7,1/1/2019 0:05,6.01136E+15,fraud_Corwin-Collins,gas_transport,71.65,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",8/21/1947,6d294ed2cc447d2c71c7171a3d54967c,1325376308,38.948089,-78.540296,0
8,1/1/2019 0:05,4.92271E+15,fraud_Herzog Ltd,misc_pos,4.27,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,fc28024ce480f8ef21a32d64c93a29f5,1325376318,40.351813,-79.958146,0
9,1/1/2019 0:06,2.72083E+15,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,3/28/1974,3b9014ea8fb80bd65de0b1463b00b00e,1325376361,37.179198,-87.485381,0
10,1/1/2019 0:06,4.64289E+12,fraud_Rutherford-Mertz,grocery_pos,24.74,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,7/13/1990,d71c95ab6b7356dd74389d41df429c87,1325376383,40.275891,-96.011548,0
11,1/1/2019 0:06,3.77234E+14,fraud_Kerluke-Abshire,shopping_net,7.77,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,2/14/1966,3c74776e558f1499a7824b556e474b1d,1325376413,40.103866,-78.624459,0
12,1/1/2019 0:06,1.80043E+14,fraud_Lockman Ltd,grocery_pos,71.22,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",2/28/1989,c1d9a7ddb1e34639fe82758de97f4abf,1325376416,27.630593,-82.308891,0
13,1/1/2019 0:07,5.55986E+15,fraud_Kiehn Inc,grocery_pos,96.29,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,12/21/1945,413636e759663f264aae1819a4d4f231,1325376447,41.65752,-122.230347,0
14,1/1/2019 0:09,3.51487E+15,fraud_Beier-Hyatt,shopping_pos,7.77,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,8/30/1967,8a6293af5ed278dea14448ded2685fea,1325376543,32.863258,-106.520205,0
15,1/1/2019 0:09,6.012E+15,fraud_Schmidt and Sons,shopping_net,3.26,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",6/30/1965,baae0b096835c975857eea7e28dde3dc,1325376560,41.831174,-74.335559,0
16,1/1/2019 0:10,6.01186E+15,fraud_Lebsack and Sons,misc_net,327,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",7/6/1952,991c04803b4d4eeab30d6245a872e3d3,1325376649,36.384092,-99.048472,0
17,1/1/2019 0:10,3.56542E+15,fraud_Mayert Group,shopping_pos,341.67,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,3/15/1938,f12cf52be2175703db789a4644c32f25,1325376658,38.674491,-88.305767,0
18,1/1/2019 0:11,2.34825E+15,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,2/2/1946,8500f3d459047eac8443307b1e8296e5,1325376674,41.430274,-79.492553,0
19,1/1/2019 0:12,4.95683E+18,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,12/21/1980,09eff9c806365e2a6be12c1bbab3d70e,1325376754,40.079588,-74.848087,0
20,1/1/2019 0:13,4.46978E+18,fraud_Bauch-Raynor,grocery_pos,57.34,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,11/22/1980,139a1bee15be607d79fe173bfcb2502a,1325376788,42.26876,-71.217297,0
21,1/1/2019 0:14,2.30534E+15,fraud_Harris Inc,gas_transport,50.79,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,2/14/1961,b9c4615bec3561c8e83b0c1d6c7028e2,1325376877,40.18893,-91.955115,0
22,1/1/2019 0:17,1.80048E+14,fraud_Kling-Grant,grocery_net,46.28,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,7/19/1974,19e23c6a300c774354417befe4f31f8c,1325377036,40.021888,-74.228188,0
23,1/1/2019 0:17,6.30442E+11,fraud_Pacocha-Bauch,shopping_pos,9.55,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,7/26/1965,c4b4daebab8be54cadde4b941244ca53,1325377060,31.62635,-98.610225,0
24,1/1/2019 0:18,4.42878E+18,fraud_Lesch Ltd,shopping_pos,22.95,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,d2432bfeabf142dc1bae1d426e32aecc,1325377086,43.375041,-89.055065,0
25,1/1/2019 0:18,3.43464E+14,fraud_Kunde-Sanford,misc_net,2.55,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,8/13/1962,abe0676c18f34fa305b113fa762e29b5,1325377087,36.74987,-78.67787,0
26,1/1/2019 0:20,3.7493E+14,fraud_Deckow-O'Conner,grocery_pos,64.09,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,11/5/1971,6f363661ba6b55889e488dd178f2a0af,1325377215,42.360426,-83.552316,0
27,1/1/2019 0:21,4.33423E+15,fraud_Bruen-Yost,misc_pos,6.85,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",8/2/1967,f3c43d336e92a44fc2fb67058d5949e3,1325377292,43.753735,-111.454923,0
28,1/1/2019 0:22,4.22599E+18,fraud_Kunze Inc,grocery_pos,90.22,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,95826e3caa9e0b905294c6dae985aec1,1325377326,19.560013,-156.045889,0
29,1/1/2019 0:22,4.26006E+15,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,3/15/1945,20490f3f0966ce74b4aaba8dc2c4ed52,1325377338,42.47559,-101.265846,0
30,1/1/2019 0:22,1.80095E+14,"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,5/19/1961,870c92b288a974a2faf1f24b05c27e33,1325377356,44.278191,-121.815161,0
31,1/1/2019 0:22,4.59974E+18,"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,12/30/1964,cb598ec00d349dc95e7b3c18de5ae800,1325377359,36.294205,-89.811282,0
32,1/1/2019 0:22,6.30413E+11,fraud_Torphy-Goyette,shopping_pos,66.21,Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,4/22/1964,20f048d3907dbb9978e23bee7b7578ce,1325377364,46.412038,-88.516663,0
33,1/1/2019 0:23,2.71221E+15,fraud_Balistreri-Nader,misc_pos,25.58,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",2/22/1977,1654da2abfb9e79a5f99167fc9779558,1325377421,29.737426,-90.853194,0
34,1/1/2019 0:23,3.74125E+14,"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.03,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",7/20/1970,c733711c521c41c578f4a964d8350df0,1325377438,38.880898,-76.441116,0
35,1/1/2019 0:25,3.49613E+14,fraud_Hudson-Ratke,grocery_pos,99,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",6/4/1984,7e2f9596cb3a3595ece15611ee338e5c,1325377546,36.823545,-83.90104,0
36,1/1/2019 0:26,3.59822E+15,fraud_Heidenreich PLC,grocery_pos,207.36,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",10/21/1970,f246ac27c09429ff1e385d4683c79c4d,1325377582,40.202538,-73.859212,0
37,1/1/2019 0:27,2.13142E+14,fraud_Halvorson Group,misc_pos,181.35,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,12/24/1984,7bb25a43205191eb7344282b88fc54d3,1325377665,31.939812,-90.726209,0
38,1/1/2019 0:27,3.05612E+13,fraud_Harber Inc,gas_transport,82.22,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",10/1/1998,61bcb858dd5c8e2d0d46d02b4fa0bf8e,1325377676,40.586238,-75.802249,0
39,1/1/2019 0:29,4.78991E+15,"fraud_Mosciski, Gislason and Mertz",grocery_pos,221.81,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",4/27/1988,a8394c3e555166ce2f90eee628bd9ade,1325377751,40.011959,-72.594808,0
40,1/1/2019 0:30,6.76373E+11,"fraud_Christiansen, Goyette and Schamberger",gas_transport,53.6,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,7/18/1987,f1566e9623814dd277dfa2a9bf83ea36,1325377849,40.332519,-99.062962,0
41,1/1/2019 0:31,3.00115E+13,fraud_Howe Ltd,misc_pos,54.02,Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,10/14/1971,8d11abad6bc3501f9994f061e3a5b730,1325377861,42.041783,-73.076424,0
42,1/1/2019 0:31,4.64226E+15,fraud_Ledner-Pfannerstill,gas_transport,102.13,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",4/23/1987,47238da5b40d126c8abea40a857c7809,1325377911,39.807313,-109.348294,0
43,1/1/2019 0:32,3.00747E+13,fraud_Lockman Ltd,grocery_pos,212.75,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,8/16/1993,d9dcde500bed2cad48ee41e44c362596,1325377935,38.862183,-101.234087,0
44,1/1/2019 0:32,1.80068E+14,fraud_Koepp-Witting,grocery_pos,130.4,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1/6/1942,14a6e29ac65424550ea7e7c9f551dbb8,1325377935,42.236269,-88.397336,0
45,1/1/2019 0:32,2.13127E+14,fraud_Doyle Ltd,grocery_pos,91.16,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1/28/1971,685bcca9eb5ce554134d7242d564ecc9,1325377967,27.588953,-99.816911,0
46,1/1/2019 0:33,2.26674E+15,"fraud_Schaefer, Maggio and Daugherty",gas_transport,55.78,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,7/25/1972,392529cae1f1f1647093732a8f319c50,1325378031,35.255978,-86.041872,0
47,1/1/2019 0:34,3.55363E+15,fraud_Stracke-Lemke,grocery_pos,83.07,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",9/1/1984,9b7a0619dcc5c572dc134f2827ed5a6b,1325378050,48.682111,-122.719904,0
48,1/1/2019 0:36,3.51106E+15,"fraud_Mosciski, Ziemann and Farrell",shopping_net,4.38,Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",1/6/1960,f1e1ad954f49955c37b45eb71b2d1642,1325378172,39.681736,-88.323862,0
49,1/1/2019 0:36,4.11027E+18,fraud_Cartwright-Harris,grocery_pos,130.89,Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",11/6/1986,e02fd7d82af517718f83a3f05077d435,1325378218,33.595647,-90.234118,0
50,1/1/2019 0:37,4.26578E+15,fraud_Pacocha-O'Reilly,grocery_pos,103,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1/5/1954,289789e617eece42a9cafe36680b1b69,1325378238,35.034285,-92.34301,0
51,1/1/2019 0:39,3.58379E+15,fraud_Pfeffer LLC,grocery_net,50.82,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,9/27/1970,64a6d4be2510d764cbd869cd2a57a4fd,1325378362,34.852665,-98.90267,0
52,1/1/2019 0:39,2.13194E+14,fraud_Huels-Hahn,gas_transport,60.77,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,2/9/1994,211c26efcb0ed5e87d4700daee23e070,1325378377,45.323099,-85.116543,0
53,1/1/2019 0:39,60495593109,fraud_Volkman PLC,food_dining,122.86,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,11/24/1942,7d68e49b63d845b808108fcd41c15877,1325378383,32.282224,-97.46183,0
54,1/1/2019 0:40,4.72584E+18,fraud_Kiehn-Emmerich,grocery_pos,212.45,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,11/5/1994,88fde595524ba43924f36bd397b86413,1325378444,31.414174,-87.138632,0
55,1/1/2019 0:40,3.04043E+13,fraud_Kemmer-Buckridge,misc_pos,7.33,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,10/25/1993,01620e8ae84989a6f95581855e49da99,1325378448,43.1763,-77.901777,0
56,1/1/2019 0:40,2.13179E+14,fraud_Cummerata-Jones,gas_transport,70.53,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,10/18/1976,7b91bd200c11c5cd24b43694e12b5bbc,1325378450,46.043252,-117.962133,0
57,1/1/2019 0:40,2.35628E+15,"fraud_Goldner, Kovacek and Abbott",grocery_pos,58.26,Benjamin,Harris,M,0881 Lori Pines,Chester,MD,21619,38.9583,-76.2842,5848,Paediatric nurse,2/15/1981,d94f89d7360cd6bade6cf1b73d003e8f,1325378458,39.240962,-76.712732,0
58,1/1/2019 0:41,3.56874E+15,fraud_Spinka-Welch,grocery_net,50.45,Thomas,Cross,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,3/13/1974,16e0d3920a0e896a70fa54e7162165c0,1325378503,41.776673,-93.350689,0
59,1/1/2019 0:41,4.64226E+15,fraud_Huel-Langworth,misc_net,177.57,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",4/23/1987,048dc7fc7ae8efd51f59f7176e6a8bd7,1325378505,38.419431,-109.380252,0
60,1/1/2019 0:42,4.50914E+15,fraud_Macejkovic-Lesch,shopping_pos,8.57,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",7/12/1926,70ed1a189a6bce479e564b120f2379d9,1325378546,32.023302,-82.58345,0
61,1/1/2019 0:43,3.54756E+15,fraud_Corwin-Collins,gas_transport,56.66,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",12/21/1966,144d8b04f90eb30e8df105a091212d99,1325378618,44.00529,-86.25199,0
62,1/1/2019 0:44,4.43309E+15,fraud_Morar Inc,grocery_net,75.34,Linda,Davis,F,493 Todd Views,Gaithersburg,MD,20882,39.2335,-77.1458,135332,Clinical biochemist,3/28/1936,d6b7e57ba04fbb046f93a87301e493cb,1325378660,38.817293,-77.833468,0
63,1/1/2019 0:44,2.72043E+15,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,62.54,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",8/22/1997,2eb55ba0572d67a64baaa8c463878d8c,1325378683,43.585423,-70.449359,0
64,1/1/2019 0:45,4.71656E+15,"fraud_Huel, Hammes and Witting",grocery_pos,92.84,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,5/4/1972,985ebf94aa7a3beeb927d07f77f0354c,1325378713,49.080153,-113.53238,0
65,1/1/2019 0:46,3.53692E+15,"fraud_Ferry, Lynch and Kautzer",misc_net,2.76,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,6/12/1955,70ca7fe41f09770d724a027152dcb9f0,1325378778,37.548452,-121.536454,0
66,1/1/2019 0:47,3.52567E+15,fraud_Heathcote LLC,shopping_net,101.35,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,8/13/1990,dab9571cce549056d3c6fedc525ccf23,1325378875,46.796891,-86.331091,0
67,1/1/2019 0:48,4.70787E+15,fraud_Huel-Langworth,misc_net,303.47,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",2/4/1967,cdb332a151bdd568d98837b9e19043b8,1325378889,36.394203,-82.514283,0
68,1/1/2019 0:49,4.66631E+18,"fraud_Little, Gutmann and Lynch",shopping_net,83.52,Guy,Thompson,M,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",6/21/1974,5f7aafc802c8acb5924041bca310040f,1325378965,40.992141,-98.831582,0
69,1/1/2019 0:49,2.24874E+15,fraud_Torphy-Goyette,shopping_pos,9.97,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,11/11/1962,22be5ae91a9497c54279abdb4b25210d,1325378971,38.075226,-99.138453,0
70,1/1/2019 0:50,4.51283E+18,fraud_Jaskolski-Dibbert,grocery_net,16.16,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,7/25/1983,514a1b5251ca91aeab8994cf6253f04b,1325379053,39.222743,-78.839099,0
71,1/1/2019 0:52,3.50151E+15,fraud_Hackett-Lueilwitz,grocery_pos,59.56,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1/2/1979,e922037de4ac8a6bec29be758e4ce195,1325379177,25.801181,-82.351291,0
72,1/1/2019 0:55,3.0273E+13,fraud_Cummings LLC,gas_transport,57.23,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,6/13/2000,044fca5318d0550ed661b507b216f83c,1325379305,36.144895,-92.188172,0
73,1/1/2019 0:56,3.55888E+15,"fraud_Swaniawski, Lowe and Robel",shopping_pos,317.14,Christopher,Holt,M,05597 Michael Spurs,Parks,AZ,86018,35.2563,-111.95,759,"Geologist, engineering",3/28/1957,3fe3286b0ea3f8c8857ec2e3da17b853,1325379372,35.268124,-112.682895,0
