transaction_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
199,1/1/2019 2:28,4.82666E+15,fraud_Gleason-Macejkovic,shopping_net,6.05,Tami,Forbes,F,5204 Robinson Plaza Suite 897,Barnstable,MA,2630,41.6983,-70.3001,1850,Counselling psychologist,12/29/1963,330336fda32a449755233ac8a862378d,1325384904,41.767862,-69.37527,0
200,1/1/2019 2:28,3.59511E+15,fraud_Doyle Ltd,grocery_pos,157.07,Jeffery,Sanders,M,5278 Sarah Station Apt. 009,Cardwell,MO,63829,36.0434,-90.2907,1120,Television floor manager,4/17/1957,2718171b5be46962b081ee742ed3cd42,1325384931,35.632995,-89.589641,0
201,1/1/2019 2:29,4.746E+12,"fraud_Schaefer, Maggio and Daugherty",gas_transport,59.19,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",10/7/1998,13aaac951dec03bdf13038aeeb0e261e,1325384965,41.537215,-86.095249,0
202,1/1/2019 2:31,4.99811E+15,fraud_McDermott-Rice,misc_pos,13.67,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,11/18/1987,49b8ff92b52599bc8c265d0b8d008593,1325385066,38.058492,-94.687196,0
203,1/1/2019 2:32,3.57643E+15,fraud_Spinka Inc,grocery_net,57.57,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,10/24/1981,0bffbd021d632206028c981630007c12,1325385146,32.635757,-112.195886,0
204,1/1/2019 2:33,3.56609E+15,fraud_McGlynn-Jaskolski,misc_pos,99.08,Kristina,Stewart,F,47029 Jimmy Tunnel Apt. 106,Newhall,CA,91321,34.3795,-118.523,34882,Health physicist,4/25/1971,56821cb1d8c2c3d57299cc01bfd2e071,1325385186,34.370236,-118.195791,0
205,1/1/2019 2:33,3.5989E+15,fraud_Bartoletti-Wunsch,gas_transport,72.67,Kenneth,Richards,M,994 Livingston Extensions Suite 918,Norwalk,OH,44857,41.2403,-82.6078,23805,Copy,2/22/1970,53c88bde168d91f16e7f0c1752def3a6,1325385225,41.854275,-83.229002,0
206,1/1/2019 2:34,3.75534E+14,fraud_Padberg-Welch,grocery_pos,103.77,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,868404210f9f96063a4cb46e6cf1494d,1325385272,38.042866,-78.649562,0
207,1/1/2019 2:34,4.99235E+18,fraud_Cole PLC,grocery_pos,123.35,Benjamin,Kim,M,920 Patrick Light,Mc Nabb,IL,61335,41.173,-89.2187,532,Audiological scientist,1/9/1956,b5b69da1242af7323956dd907a8eb79c,1325385294,40.513402,-89.784304,0
208,1/1/2019 2:35,6.57356E+15,"fraud_Lehner, Reichert and Mills",misc_pos,2.07,Kristina,Lewis,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,6/18/1968,fdce65baf3dd8e897f03fb09f6c78b9c,1325385345,35.891929,-96.473787,0
209,1/1/2019 2:36,3.57339E+15,fraud_Keeling-Crist,misc_pos,7.16,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,10/30/1969,af2d9369bc89ae5db7ef09af1ae62a32,1325385375,46.584094,-97.827871,0
