transaction_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
300,1/1/2019 3:55,3.5296E+15,fraud_Koepp-Witting,grocery_pos,92.62,Pamela,Curtis,F,8969 Fuentes Station Apt. 291,Mill Creek,PA,17060,40.4679,-77.8967,1334,Archaeologist,12/17/1986,fb6aa71049ee72e7ca21bcd56ec9fa3d,1325390127,40.827223,-78.74356,0
301,1/1/2019 3:56,2.28406E+15,fraud_Maggio-Fahey,misc_pos,75.6,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,11/22/1969,e0606d52a38100bfe910aa05f3a3105d,1325390162,39.886736,-84.086151,0
302,1/1/2019 3:56,3.03284E+13,"fraud_Haley, Jewess and Bechtelar",shopping_pos,2.49,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,7/14/1954,d5b3a6e6afe4ff2c96b5fe0355ff8b55,1325390173,39.052625,-92.428684,0
303,1/1/2019 3:56,4.2554E+18,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,2.87,George,Smith,M,7377 Walton Extensions Apt. 979,Dallas,TX,75236,32.69,-96.9177,1263321,"Designer, interior/spatial",9/27/1952,0af8c02fb7f89d6d44bc190ebe05af50,1325390212,33.653674,-96.689819,0
304,1/1/2019 3:57,2.13187E+14,"fraud_Ruecker, Beer and Collier",shopping_net,87.91,Craig,Franco,M,9242 Vanessa Ramp Apt. 525,Smithfield,IL,61477,40.4855,-90.2856,631,Futures trader,2/14/1973,3ff25009cf03ea68e805219047373cb2,1325390263,40.55495,-89.50587,0
305,1/1/2019 3:58,4.11976E+15,"fraud_Robel, Cummerata and Prosacco",gas_transport,75.1,Melinda,Gutierrez,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,8/19/1945,31b8e8957887df017abbae64ccf94498,1325390309,41.114699,-89.132387,0
306,1/1/2019 3:59,4.31958E+18,fraud_Jast-McDermott,shopping_pos,2.9,Kathleen,Nash,F,010 Salazar Walk,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,2/1/1960,39b49f04afb6c251c42866a4c822838f,1325390344,37.289605,-83.179743,0
307,1/1/2019 3:59,4.9883E+12,fraud_Harber Inc,gas_transport,57.43,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,3/17/1937,e6a9290e69ff21b66b36deb5d22ba863,1325390375,41.573231,-74.700915,0
308,1/1/2019 4:00,3.74238E+14,fraud_Hudson-Ratke,grocery_pos,122.86,Daniel,Martinez,M,8510 Acevedo Burgs,Kent,OR,97033,45.0838,-120.6649,60,Museum education officer,4/3/1942,b48cee6edd7f798cb5d4080b82e4a1fe,1325390447,44.189625,-121.655209,0
309,1/1/2019 4:00,2.13127E+14,"fraud_Bernier, Volkman and Hoeger",misc_net,7.77,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1/28/1971,5f720b552b5503b02d9643883089e727,1325390455,26.763749,-99.838161,0
310,1/1/2019 4:02,4.50538E+12,fraud_Heaney-Marquardt,entertainment,23.89,Alicia,Hawkins,F,507 John Overpass Suite 424,Harwood,MD,20776,38.8582,-76.6145,3289,Quantity surveyor,3/15/1933,58f441292530b7addc38b1dbd4fd54d7,1325390541,39.366148,-76.29457,0
311,1/1/2019 4:02,2.71391E+15,fraud_Kutch LLC,gas_transport,46.24,Jacqueline,Howard,F,4511 Choi Lock,Delhi,LA,71232,32.3929,-91.4714,6581,Multimedia programmer,2/13/1964,44921b2b2be9f1dc5ed376904581287c,1325390575,32.676083,-90.60461,0
312,1/1/2019 4:03,2.13161E+14,fraud_Bernhard Inc,gas_transport,68.34,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,2/9/1963,1a7ecd096045247996facffe3fdf5ff2,1325390624,33.859978,-86.433097,0
313,1/1/2019 4:03,3.4879E+14,fraud_Brekke and Sons,gas_transport,84.58,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,8/19/1950,946ab3d0eaf1a37f11668ae3c1d55a2c,1325390633,40.310753,-99.581023,0
314,1/1/2019 4:04,6.01193E+15,fraud_Hudson-Grady,shopping_pos,123.51,Joshua,Cohen,M,426 Mark Ports,Brooklin,ME,4616,44.2541,-68.5565,824,"Loss adjuster, chartered",11/2/1974,0602199caa3d96cd1e2f0e077f4e9cc1,1325390672,44.192713,-69.367216,0
